Year,Electric power consumption (kWh per capita)
1971,133
1972,142
1973,158
1974,170
1975,195
1976,220
1977,233
1978,278
1979,314
1980,330
1981,363
1982,406
1983,417
1984,441
1985,466
1986,485
1987,455
1988,481
1989,522
1990,531
1991,532
1992,559
1993,547
1994,550
1995,559
1996,570
1997,575
1998,618
1999,652
2000,683
2001,709
2002,730
2003,786
2004,804
2005,890
2006,862
2007,894
2008,947
2009,866
2010,1016
2011,1123
2012,1237
2013,1278
2014,1362
2015,1450
2016,1509
2017,1568
2018,1580
2019,1600
